Data Order,Data Size,Algorithm,Running Time (ms),Comparisons
Reversed,500000,insertion-sort,306180,1500000
Reversed,500000,bubble-sort,1.02E+06,1000001
Reversed,500000,shaker-sort,985353,1000002
Reversed,500000,shell-sort,27.973,25500058
Reversed,500000,heap-sort,94.705,37799186
Reversed,500000,merge-sort,130.441,32017850
Reversed,500000,quick-sort,31.28,17737894
Reversed,500000,counting-sort,4.193,3000001
Reversed,500000,radix-sort,104.896,10000084
Reversed,500000,flash-sort,12.877,5929996
